#id	length	evalue	coverge	probability
Os0008_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	77	3.6e-20	80.6	0.97
Os0008_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-PROT	69	9.6e-28	100.0	0.99
Os0008_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-INT	201	2.1e-86	100.0	0.98
Os0008_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RT	256	4.7e-132	100.0	1.0
Os0008_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RH	75	2.2e-32	58.7	0.98
Os0014#DNAauto/CACTG|Class_II/Subclass_1/TIR/EnSpm_CACTA:CACTA-TPase	429	3.5e-192	100.0	0.98
Os0016_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	5.3e-47	100.0	0.98
Os0016_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	79	2e-22	100.0	0.97
Os0016_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	174	1.5e-90	100.0	1.0
Os0016_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	69	1.3e-119	22.8	0.89
Os0016_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	313	2.6e-135	100.0	0.98
Os0019_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-GAG	123	3.9e-47	97.6	0.98
Os0019_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-PROT	69	8.7e-27	82.9	0.97
Os0019_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RT	176	2.5e-103	100.0	1.0
Os0019_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RH	150	1.9e-77	99.3	0.99
Os0019_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-INT	209	2.3e-112	62.6	0.99
Os0025_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	127	1.7e-42	100.0	0.97
Os0025_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	77	6.3e-31	100.0	0.98
Os0028_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-GAG	90	3.8e-40	98.9	0.99
Os0028_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-PROT	72	6.2e-39	100.0	0.99
Os0028_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-INT	86	3.4e-46	43.4	0.99
Os0028_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-RT	257	3.7e-145	100.0	0.99
Os0028_INT#LTR/Copia|Class_I/LTR/Ty1_copia/TAR:Ty1-RH	110	1e-53	82.9	0.99
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	6e-41	100.0	0.98
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	81	2.1e-30	100.0	0.99
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	174	4.9e-95	100.0	1.0
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	57	2.8e-67	22.4	0.96
Os0030_INT_RIRE2#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	313	2e-140	100.0	0.99
Os0032_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	4.3e-45	100.0	0.98
